json_angle, json_cte, steer_pid, steer_p_error, steer_i_error, steer_d_error
-1.7853,0.4971,0.105532,0.4971,299.744,-0.1453,
-11.326,0.4731,-0.013848,0.4731,300.217,-0.024,
3.0746,0.5742,-0.147036,0.5742,300.791,0.1011,
0.0901,0.6671,-0.146268,0.6671,301.458,0.0929,
-3.2396,0.7994,-0.196252,0.7994,302.258,0.1323,
-3.2204,0.8784,-0.149272,0.8784,303.136,0.079,
-4.47,0.9782,-0.178056,0.9782,304.114,0.0998,
-3.2955,1.0534,-0.159472,1.0534,305.168,0.0752,
-4.0151,1.0884,-0.122072,1.0884,306.256,0.035,
-3.5505,1.1101,-0.110508,1.1101,307.366,0.0217,
-2.6155,1.1189,-0.098312,1.1189,308.485,0.0088,
-2.3264,1.0996,-0.068668,1.0996,309.585,-0.0193,
-2.0215,1.0716,-0.057728,1.0716,310.656,-0.028,
-1.2804,1.0085,-0.01758,1.0085,311.665,-0.0631,
-1.0069,0.9536,-0.021388,0.9536,312.618,-0.0549,
-0.0032,0.855,0.0302,0.855,313.473,-0.0986,
-0.0984,0.78,0.0126,0.78,314.253,-0.075,
1.1913,0.6575,0.0699,0.6575,314.911,-0.1225,
0.7513,0.5708,0.041036,0.5708,315.482,-0.0867,
2.1838,0.4379,0.097868,0.4379,315.92,-0.1329,
1.4622,0.3489,0.061088,0.3489,316.268,-0.089,
2.883,0.1781,0.156552,0.1781,316.447,-0.1708,
1.9635,0.0982,0.072044,0.0982,316.545,-0.0799,
4.3501,-0.0083,0.107164,-0.0083,316.536,-0.1065,
2.2374,-0.0973,0.096784,-0.0973,316.439,-0.089,
3.1154,-0.167,0.08306,-0.167,316.272,-0.0697,
2.8559,-0.2014,0.050512,-0.2014,316.071,-0.0344,
2.5128,-0.2258,0.042464,-0.2258,315.845,-0.0244,
1.6991,-0.2446,0.038368,-0.2446,315.6,-0.0188,
1.4979,-0.2428,0.017624,-0.2428,315.358,0.0018,
1.3955,-0.2304,0.006032,-0.2304,315.127,0.0124,
0.8769,-0.2098,-0.003816,-0.2098,314.917,0.0206,
0.5871,-0.1648,-0.031816,-0.1648,314.753,0.045,
0.3409,-0.1263,-0.028396,-0.1263,314.626,0.0385,
-0.3591,-0.0585,-0.06312,-0.0585,314.568,0.0678,
-0.2736,-0.0077,-0.050184,-0.0077,314.56,0.0508,
-1.1417,0.0738,-0.087404,0.0738,314.634,0.0815,
-0.8183,0.1306,-0.067248,0.1306,314.764,0.0568,
-1.7488,0.2161,-0.102788,0.2161,314.981,0.0855,
-1.2449,0.2723,-0.077984,0.2723,315.253,0.0562,
-2.1334,0.3524,-0.108292,0.3524,315.605,0.0801,
-1.5133,0.4021,-0.081868,0.4021,316.007,0.0497,
-2.271,0.4687,-0.104096,0.4687,316.476,0.0666,
-1.6104,0.5245,-0.09776,0.5245,317.001,0.0558,
-2.1661,0.5548,-0.074684,0.5548,317.555,0.0303,
-2.0077,0.5883,-0.080564,0.5883,318.144,0.0335,
-1.4308,0.6026,-0.062508,0.6026,318.746,0.0143,
-1.5778,0.6118,-0.058144,0.6118,319.358,0.0092,
-1.1264,0.6099,-0.046892,0.6099,319.968,-0.0019,
-1.0173,0.6017,-0.039936,0.6017,320.57,-0.0082,
-0.736,0.5785,-0.02308,0.5785,321.148,-0.0232,
-0.5621,0.5562,-0.022196,0.5562,321.704,-0.0223,
-0.1407,0.5139,0.001188,0.5139,322.218,-0.0423,
-0.1186,0.4805,-0.00504,0.4805,322.699,-0.0334,
0.466,0.4245,0.02204,0.4245,323.123,-0.056,
0.3103,0.363,0.03246,0.363,323.486,-0.0615,
0.9873,0.32,0.0174,0.32,323.806,-0.043,
1.2478,0.2554,0.044168,0.2554,324.062,-0.0646,
0.8713,0.2128,0.025576,0.2128,324.274,-0.0426,
1.5405,0.1716,0.027472,0.1716,324.446,-0.0412,
1.0757,0.1131,0.049452,0.1131,324.559,-0.0585,
1.1231,0.0768,0.030156,0.0768,324.636,-0.0363,
1.6726,0.0286,0.045912,0.0286,324.665,-0.0482,
1.1902,0.001,0.02752,0.001,324.666,-0.0276,
1.5841,-0.0324,0.035992,-0.0324,324.633,-0.0334,
1.1243,-0.0557,0.027756,-0.0557,324.577,-0.0233,
1.3361,-0.0653,0.014824,-0.0653,324.512,-0.0096,
1.1302,-0.0701,0.010408,-0.0701,324.442,-0.0048,
0.8069,-0.0685,0.00388,-0.0685,324.374,0.0016,
0.6965,-0.0618,-0.001756,-0.0618,324.312,0.0067,
0.5333,-0.0439,-0.014388,-0.0439,324.268,0.0179,
0.3924,-0.027,-0.01474,-0.027,324.241,0.0169,
0.0766,0.0046,-0.031968,0.0046,324.245,0.0316,
0.0678,0.0383,-0.036764,0.0383,324.284,0.0337,
-0.3629,0.1959,-0.173272,0.1959,324.48,0.1576,
-0.4828,0.383,-0.21774,0.383,324.863,0.1871,
-3.8955,0.7846,-0.464368,0.7846,325.647,0.4016,
-5.0072,0.2108,0.556936,0.2108,325.858,-0.5738,
-11.1729,0.2089,-0.014812,0.2089,326.067,-0.0019,
14.3597,0.2485,-0.05948,0.2485,326.315,0.0396,
0.066,0.2911,-0.065888,0.2911,326.607,0.0426,
-1.0507,0.3171,-0.051368,0.3171,326.924,0.026,
-1.2109,0.3504,-0.061332,0.3504,327.274,0.0333,
-0.8479,0.3687,-0.047796,0.3687,327.643,0.0183,
-1.097,0.3896,-0.052068,0.3896,328.032,0.0209,
-0.7586,0.3992,-0.041536,0.3992,328.432,0.0096,
-0.8654,0.4069,-0.040252,0.4069,328.838,0.0077,
-0.6021,0.4076
