json_angle, json_cte, steer_pid, steer_p_error, steer_i_error, steer_d_error
-0.5217,0.4148,-0.032484,0.4148,55.5265,-0.0007,
-0.4322,0.4123,-0.030484,0.4123,55.9388,-0.0025,
-0.3758,0.4083,-0.028664,0.4083,56.3471,-0.004,
-0.3258,0.3996,-0.023268,0.3996,56.7467,-0.0087,
-0.2803,0.392,-0.02376,0.392,57.1387,-0.0076,
-0.1454,0.3782,-0.016456,0.3782,57.5169,-0.0138,
-0.1577,0.3676,-0.018808,0.3676,57.8845,-0.0106,
0.0249,0.356,-0.01688,0.356,58.2405,-0.0116,
-0.0339,0.3369,-0.007852,0.3369,58.5774,-0.0191,
0.0143,0.3235,-0.01248,0.3235,58.9009,-0.0134,
0.24,0.3216,-0.023828,0.3216,59.2225,-0.0019,
0.1243,0.3364,-0.041712,0.3364,59.5589,0.0148,
-0.1594,0.3709,-0.064172,0.3709,59.9298,0.0345,
-0.6065,0.393,-0.05354,0.393,60.3228,0.0221,
-1.168,0.4135,-0.05358,0.4135,60.7363,0.0205,
-0.9022,0.4407,-0.062456,0.4407,61.177,0.0272,
-0.9032,0.4564,-0.052212,0.4564,61.6334,0.0157,
-1.1251,0.475,-0.0566,0.475,62.1084,0.0186,
-0.869,0.4841,-0.047828,0.4841,62.5925,0.0091,
-0.9787,0.4903,-0.045424,0.4903,63.0828,0.0062,
-0.7594,0.494,-0.04322,0.494,63.5768,0.0037,
-0.6993,0.4929,-0.038332,0.4929,64.0697,-0.0011,
-0.6442,0.4856,-0.031548,0.4856,64.5553,-0.0073,
-0.522,0.4771,-0.029668,0.4771,65.0324,-0.0085,
-0.3524,0.4593,-0.018944,0.4593,65.4917,-0.0178,
-0.3054,0.4442,-0.020436,0.4442,65.9359,-0.0151,
-0.0373,0.4268,-0.016744,0.4268,66.3627,-0.0174,
-0.0746,0.397,-0.00196,0.397,66.7597,-0.0298,
0.0177,0.3748,-0.007784,0.3748,67.1345,-0.0222,
0.3873,0.3468,0.000256,0.3468,67.4813,-0.028,
0.2417,0.3488,-0.029904,0.3488,67.8301,0.002,
0.4427,0.3669,-0.047452,0.3669,68.197,0.0181,
-0.3113,0.3953,-0.060024,0.3953,68.5923,0.0284,
-0.75,0.4125,-0.0502,0.4125,69.0048,0.0172,
-1.0643,0.4343,-0.056544,0.4343,69.4391,0.0218,
-0.8187,0.4458,-0.047164,0.4458,69.8849,0.0115,
-0.9773,0.4546,-0.045168,0.4546,70.3395,0.0088,
-0.7428,0.4626,-0.045008,0.4626,70.8021,0.008,
-0.6929,0.4643,-0.038844,0.4643,71.2664,0.0017,
-0.6889,0.4614,-0.034012,0.4614,71.7278,-0.0029,
-0.5348,0.4558,-0.030864,0.4558,72.1836,-0.0056,
-0.414,0.4474,-0.027392,0.4474,72.631,-0.0084,
-0.3353,0.4299,-0.016892,0.4299,73.0609,-0.0175,
-0.2485,0.4151,-0.018408,0.4151,73.476,-0.0148,
0.014,0.389,-0.00502,0.389,73.865,-0.0261,
-0.0239,0.3693,-0.009844,0.3693,74.2343,-0.0197,
0.3108,0.3374,0.004908,0.3374,74.5717,-0.0319,
0.1902,0.3148,-0.002584,0.3148,74.8865,-0.0226,
0.559,0.2984,-0.007472,0.2984,75.1849,-0.0164,
0.3717,0.3097,-0.036076,0.3097,75.4946,0.0113,
0.2495,0.3412,-0.058796,0.3412,75.8358,0.0315,
-0.4656,0.3617,-0.049436,0.3617,76.1975,0.0205,
-1.0336,0.3897,-0.059176,0.3897,76.5872,0.028,
-0.7996,0.406,-0.04878,0.406,76.9932,0.0163,
